"C贸digo r茅gimen","C贸digo departamento","C贸digo localidad","Padr贸n","Bloc / Manzana","EP / SS","Unidad","Nivel","Area construida","A帽o de construcci贸n","A帽o remanente","EP/SS uso exclusivo","Unidad uso explusivo","Destinos","Categor铆a de construcci贸n","Estado conservaci贸n","Tipo de cubierta","Indicador cielorraso","Tipo de obra"
"CO","B","EH",295,"","",0,0,47,0,0,NA,0,"DEPOSITO","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",302,"","",0,0,72,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",302,"","",0,0,23,0,0,NA,0,"DEPOSITO","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",302,"","",0,0,16,0,0,NA,0,"VIVIENDA","Muy economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",303,"","",0,0,46,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",303,"","",0,0,15,0,0,NA,0,"DEPOSITO","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",306,"","",0,0,186,0,0,NA,0,"VIVIENDA","Muy confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",306,"","",0,0,173,0,0,NA,0,"VIVIENDA","Muy confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",306,"","",0,0,28,0,0,NA,0,"VIVIENDA","Muy confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",306,"","",0,0,58,0,0,NA,0,"DEPOSITO","Muy confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",309,"","",0,0,87,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",310,"","",0,0,40,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",310,"","",0,0,40,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",310,"","",0,0,40,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",314,"","",0,0,67,0,0,NA,0,"VIVIENDA","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",316,"","",0,0,90,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",316,"","",0,0,55,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",321,"","",0,0,86,0,0,NA,0,"VIVIENDA","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",322,"","",0,0,87,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",322,"","",0,0,18,0,0,NA,0,"DEPOSITO","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",327,"","",0,0,42,0,0,NA,0,"VIVIENDA","Muy economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",330,"","",0,0,92,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",332,"","",0,0,41,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",332,"","",0,0,16,0,0,NA,0,"DEPOSITO","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",333,"","",0,0,68,0,0,NA,0,"VIVIENDA","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",333,"","",0,0,19,0,0,NA,0,"DEPOSITO","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",334,"","",0,0,25,0,0,NA,0,"VIVIENDA","Muy economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",343,"","",0,0,114,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",343,"","",0,0,10,0,0,NA,0,"DEPOSITO","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",347,"","",0,0,19,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",347,"","",0,0,98,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",350,"","",0,0,72,0,0,NA,0,"VIVIENDA","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",352,"","",0,0,110,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",352,"","",0,0,30,0,0,NA,0,"DEPOSITO","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",367,"","",0,0,60,0,0,NA,0,"VIVIENDA","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",367,"","",0,0,28,0,0,NA,0,"DEPOSITO","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",369,"","",0,0,71,0,0,NA,0,"VIVIENDA","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",369,"","",0,0,24,0,0,NA,0,"DEPOSITO","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",369,"","",0,0,3,0,0,NA,0,"DEPOSITO","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",378,"","",0,0,83,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",399,"","",0,0,133,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",399,"","",0,0,110,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",399,"","",0,0,20,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",399,"","",0,0,128,0,0,NA,0,"DEPOSITO","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",400,"","",0,0,150,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",456,"","",0,0,21,0,0,NA,0,"COMERCIO","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",482,"","",0,0,119,2000,0,NA,0,"VIVIENDA","Muy confortable","Excelente","Losa o bovedilla",NA,"Original"
