"Código Régimen","Código Departamento","Código Localidad","Padrón","Block/Manzana","EP/SS","Unidad","Área predio","Área edificada","Valor catastral terreno","Valor catastral mejoras","Valor catastral total","Valor para impuestos","Fecha última DJCU","Vigencia última DJCU"
"CO","B","EH",19,"","",0,1582,282,626294,974681,1600975,1806932,"16/01/2023","16/01/2028"
"CO","B","EH",20,"","",0,1176,219,498820,4497264,4996084,4996084,"/  /","/  /"
"CO","B","EH",21,"","",0,1056,264,408098,2732856,3140954,3140954,"24/01/2008","24/01/2013"
"CO","B","EH",22,"","",0,2511,0,118347,0,118347,118347,"/  /","/  /"
"CO","B","EH",24,"","",0,947,183,330281,1660055,1990336,1178494,"20/03/2023","20/03/2028"
"CO","B","EH",25,"","",0,691,273,240998,2017586,2258584,2258584,"20/03/2014","20/03/2019"
"CO","B","EH",34,"","",0,1740,762,934851,6178665,7113516,6106607,"16/06/2022","16/06/2027"
"CO","B","EH",42,"","",0,229,150,103606,2355526,2459132,2459132,"/  /","/  /"
"CO","B","EH",43,"","",0,233,156,101040,471450,572490,572490,"18/01/2018","18/01/2023"
"CO","B","EH",44,"","",0,305,112,120740,1080578,1201318,1201318,"/  /","/  /"
"CO","B","EH",45,"","",0,216,106,87548,933658,1021206,1021206,"22/03/2013","22/03/2018"
"CO","B","EH",46,"","",0,249,89,100924,415820,516744,516744,"26/02/2009","26/02/2014"
"CO","B","EH",50,"","",0,442,644,195819,2858257,3054076,3054076,"12/11/2020","12/11/2025"
"CO","B","EH",53,"","",0,194,173,78631,813100,891731,891731,"30/07/2015","30/07/2020"
"CO","B","EH",54,"","",0,163,82,70685,803839,874524,874524,"/  /","/  /"
"CO","B","EH",55,"","",0,545,239,236317,1024002,1260319,1260319,"13/09/2019","13/09/2024"
"CO","B","EH",56,"","",0,450,119,199351,1044343,1243694,1243694,"/  /","/  /"
"CO","B","EH",57,"","",0,450,0,199351,0,199351,199351,"18/11/2014","18/11/2019"
"CO","B","EH",58,"","",0,600,264,260151,673635,933786,933786,"28/09/2006","28/09/2011"
"CO","B","EH",60,"","",0,450,154,152706,1176389,1329095,623260,"28/11/2023","28/11/2028"
"CO","B","EH",61,"","",0,450,109,152706,934698,1087404,1087404,"28/11/2011","28/11/2016"
"CO","B","EH",62,"","",0,450,0,173904,0,173904,173904,"/  /","/  /"
"CO","B","EH",66,"","",0,360,0,108581,0,108581,108581,"/  /","/  /"
"CO","B","EH",67,"","",0,450,302,110286,628976,739262,487671,"22/02/2022","22/02/2027"
"CO","B","EH",68,"","",0,450,0,101798,0,101798,101798,"/  /","/  /"
"CO","B","EH",69,"","",0,19180,0,2531031,0,2531031,2531031,"/  /","/  /"
"CO","B","EH",70,"","",0,917,404,311165,2089130,2400295,2400295,"29/09/2016","29/09/2021"
"CO","B","EH",74,"","",0,2576,0,509895,0,509895,509895,"/  /","/  /"
"CO","B","EH",75,"","",0,416,175,164686,1202143,1366829,1366829,"23/03/2009","23/03/2014"
"CO","B","EH",76,"","",0,241,108,61337,980578,1041915,649683,"17/11/2022","17/11/2027"
"CO","B","EH",77,"","",0,557,151,152248,960891,1113139,536603,"23/11/2023","23/11/2028"
"CO","B","EH",79,"","",0,320,75,153823,427061,580884,580884,"/  /","/  /"
